Country Name	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011
Burundi		0.0144493714	0.0153834388	0.0151121867	0.0114134928	0.0145539641	0.0142664499	0.0161463608	0.0211647846	0.0177427118	0.0206599464	0.0205021432	0.0203597575	0.0252250512	0.0209235352	0.0235161333	0.0259245925	0.0262590138	0.0274052798	0.0355157643	0.0370377678	0.0358727898	0.0452071529	0.046861971	0.0476273333	0.0483251371	0.0518138055	0.048239953	0.0549974915	0.0543334904	0.0602194608	0.054674399	0.0568594876	0.0566767163	0.0548235011	0.0537485558	0.0510171248	0.048315783	0.0466861521	0.0471725182	0.0332868539	0.0330555368	0.0241293602	0.0229202672	0.02275622	0.02649296	0.0237876504	0.0226204571			
Cambodia	0.0514045557	0.0540627822	0.0666025946	0.0569945225	0.065680421	0.0743822817	0.0644546545	0.0738089069	0.1975712833	0.1691324123	0.0354224978	0.0164852147	0.0179194405	0.0102464914	0.0103327792	0.0105183764	0.0107910578	0.0077565268	0.0045089244	0.043965493	0.0453066047	0.0490103972	0.0508471168	0.0542535806	0.0527838954	0.0524461671	0.0509119568	0.0507603171	0.0490054589	0.0473189684	0.0468211814	0.04670992	0.0452319185	0.0496267332	0.1286985418	0.1420864104	0.1625445064	0.1863156309	0.1796841141	0.1811853652	0.2089436563	0.2226711224	0.2401650746	0.2651453949	0.2786437867	0.3014258631	0.3248561415	0.3329381123			
Cameroon	0.0511012525	0.0512937874	0.0520612475	0.0570889	0.0515308564	0.0556517982	0.0722384048	0.0778113324	0.085779913	0.0932592959	0.1154076744	0.1195162956	0.1212803175	0.1280659847	0.1483095145	0.1353626135	0.1881838345	0.2333973894	0.206939554	0.4287016504	0.5696510191	0.657294288	0.6636164301	0.5928630372	0.6156489466	0.1851623741	0.1662844801	0.192382569	0.6453856348	0.1426963162	0.0886759388	0.2946123215	0.2944886868	0.2809000405	0.3130290179	0.3221062504	0.2197908161	0.2142482739	0.2010095111	0.2189216169	0.2133021882	0.2082902423	0.2261372957	0.2305057649	0.2105743731	0.2376101596	0.3361246106	0.2826667068			
Canada	10.627897652	11.1306274847	11.1321024046	12.305370401	12.8140014737	12.9349181464	13.8103545953	14.6326451986	14.6186486114	16.0141487526	16.29009014	17.3294251674	17.0599522072	17.1234428531	17.1116133397	16.979248448	16.732806396	16.8841275587	17.6163121061	17.4255935429	16.7109166265	15.8831066185	15.6020362979	15.8242278422	15.4905376995	14.7771535643	15.5085786064	16.1495252649	16.0842262318	16.1950480012	15.9398890907	16.3974560067	16.5752196505	15.6118819802	15.6636390952	15.7685733303	16.1146620225	15.8318714357	15.6682395604	17.4653154564	16.9594281559	16.6390037306	17.4731230269	17.3735228004	17.4175690765	16.8061567276	16.5020560104	16.3334811806			
Cape Verde	0.1019592941	0.0828352376	0.0644945698	0.1254699349	0.1068201963	0.0891765698	0.0724454437	0.1130002696	0.1375345055	0.1336945188	0.129627273	0.1757247989	0.2071599949	0.2145441189	0.2473333783	0.235514751	0.2615693382	0.6873883918	0.8291800509	0.4033068153	0.109015416	0.1189696006	0.1162613741	0.2614738343	0.256760665	0.1763113215	0.2401254889	0.2164334808	0.235444161	0.2527767007	0.2577638442	0.2815146671	0.2739341551	0.285665319	0.2878292222	0.3447741769	0.3463681874	0.3656526663	0.4014857505	0.4277235739	0.4696043101	0.5426712904	0.5500129339	0.5656235004	0.6203648683	0.6440502899	0.6453005343	0.6320195498			
Cayman Islands	1.3291047481	1.3068424804	1.2905912717	1.2774036229	1.2643374325	2.0866052122	1.6527323944	2.4441235281	4.7747395833	3.8418019906	4.3986405438	5.1984689538	5.213898516	4.5875729775	4.5966781573	5.1313153631	5.0817627494	6.2355788097	5.9181874612	9.7867860744	8.9980027391	9.1087988518	9.2155384451	9.6569761438	9.6346916518	9.7134478028	9.7224194491	9.6849414271	10.5186247576	9.7137208231	10.0509812521	9.7071403692	9.6326727406	9.2150332411	8.8342583557	8.3888432661	8.0887418342	7.7927746295	7.3753787483	11.3125513124	10.6987600292	10.4035286034	10.0465753425	9.8471346448	9.8922285146	9.9676422401	9.8584282814	10.0801880821			
Central African Republic	0.0575502685	0.0471135408	0.0462487088	0.0453689521	0.0533757713	0.0501170612	0.0533440788	0.1044575783	0.1043536049	0.1142986664	0.098323434	0.0887462297	0.0832802556	0.0575292829	0.0508961703	0.0622590913	0.0608780248	0.0679531185	0.0463864337	0.046772342	0.0579884509	0.0593125512	0.0590233067	0.0587796269	0.061427574	0.0599750953	0.0946855332	0.0822792339	0.0869286024	0.0674729289	0.0682834405	0.0701315869	0.0706557978	0.0722682617	0.0705253763	0.0688951639	0.0705186843	0.0700516125	0.0726880888	0.0723175097	0.065220219	0.0641613292	0.0603299422	0.0593803932	0.0584109033	0.0610040186	0.060809096	0.0614344964			
Chad	0.0170141773	0.0273563162	0.0290975768	0.0307552142	0.0323373818	0.0251166478	0.0342321569	0.0356255327	0.0451288615	0.0341031838	0.0401720204	0.0315578732	0.0410623563	0.0373690751	0.0445663128	0.043643612	0.0462039443	0.0444682146	0.0452302632	0.045896995	0.0448912785	0.0430944606	0.042055224	0.0431735286	0.0348808339	0.0352563583	0.0361993349	0.0116913592	0.0176208097	0.0244010205	0.0112416313	0.0137773926	0.0150399228	0.0151309152	0.0146719656	0.0147308224	0.0152615564	0.01478276	0.0152272901	0.0214070786	0.0202336385	0.0191006906	0.0416618372	0.0398637775	0.0408447785	0.0403642888	0.0445477412	0.0464666847			
Channel Islands																																																			
Chile	1.8441594002	2.0776025889	2.1026434735	2.0721835445	2.0525823448	2.1237813334	2.1311307503	2.3019312839	2.3994869272	2.5752082052	2.7781815531	2.8402214398	2.7391301161	2.5297229725	2.2088834884	2.2799952552	2.1557814605	2.1116927416	2.256326624	2.2601345026	2.1636654617	1.7884431306	1.7789631807	1.8642648349	1.7760707346	1.807188092	1.8111021469	2.1146560988	2.4997471459	2.6465711053	2.4567149553	2.4942855411	2.6051845774	2.8322135833	3.0266064218	3.3850921985	3.8446567994	3.9222505882	4.0852897048	3.8972436773	3.4617972725	3.5524663566	3.5344732228	3.8701669437	3.9140518004	3.9892683547	4.2143510825	4.3528667907			
